"participant","condsFile","order","trial","nTrip","totalListTime","meanListTime","totalShelfTime","meanShelfTime","totalTime","totalCorrect","meanCorrect","meanCorBefInc","totalInCorrect","meanIncorrect","maxCorrect","maxIncorrect","totalClickeds","meanclickeds","meanMU","Timestamp","What.is.your.child.s.gender.","What.is.your.child.s.age.","Please.enter.your.child.s.birth.date.","Caregiver.1..What.is.the.highest.level.of.education.","Caregiver.2..What.is.the.highest.level.of.education.","Is.your.child.currently.going.to.school..If.yes..what.grade...In.the.summer..What.grade.has.your.child.just.completed..","Which.group.below.most.accurately.describes.your.child.s.ethnic.background.","Which.group.help.most.accurately.describes.your.child.s.racial.background.","How.many.days.per.week.does.your.child.spend.using.a.touchscreen.device...e.g..iPad..tablet..smartphone.","On.these.days..how.many.hours.does.your.child.typically.spend.using.the.touchscreen.device.","Which.types.of.activities.does.your.child.usually.engage.in.on.the.touchscreen.device.","Does.your.child.have.colorblindness.","At.what.age.did.your.child.first.begin.to.play.with.a.touchscreen.device.","Have.you.ever.had.any.developmental.concerns.or.have.you.ever.been.referred.to.early.intervention..If.yes..what.it.is.","Does.your.child.hear.any.other.language.other.than.English.on.a.daily.basis..If.yes..which.."
"13","longDelay","D",2,4,12.4086910000042,3.10217275000105,20.0283296000034,5.00708240000085,32.4370206000076,6,1.5,1.5,0,0,2,0,6,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","longDelay","D",3,5,18.5626760000087,3.71253520000173,17.8124923000087,3.56249846000173,36.3751683000173,6,1.2,1.2,0,0,2,0,6,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","longDelay","D",4,1,2.57030590000068,2.57030590000068,27.7088630000035,27.7088630000035,30.2791689000042,4,4,3,6,6,4,6,10,10,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","noDelay","D",1,4,10.0671129000057,2.51677822500142,25.2311300000092,6.3077825000023,35.2982429000149,6,1.5,1.5,0,0,2,0,6,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","noDelay","D",2,4,8.87896190001084,2.21974047500271,24.9431552000078,6.23578880000196,33.8221171000187,6,1.5,1.5,1,0.25,2,1,7,1.75,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","noDelay","D",3,5,16.2277483000144,3.24554966000287,18.6191019000144,3.72382038000287,34.8468502000287,6,1.2,1.2,0,0,2,0,6,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","noDelay","D",4,1,6.97456640000019,6.97456640000019,20.6872144000008,20.6872144000008,27.661780800001,6,6,1,4,4,6,4,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","longDelay","B",1,3,17.286657839999,5.76221927999965,42.093991380003,14.031330460001,59.3806492200019,7,2.33333333333333,2.33333333333333,1,0.333333333333333,3,1,8,2.66666666666667,2,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"14","longDelay","B",2,2,9.20929464000801,4.60464732000401,27.592869140004,13.796434570002,36.8021637800121,8,4,4,0,0,4,0,8,4,4,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"14","longDelay","B",3,2,10.498801340007,5.24940067000352,19.5971001800026,9.7985500900013,30.0959015200096,6,3,3,0,0,3,0,6,3,3,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
