condsFile,blockMsg,realOrNot,listNum,finalQduration,finalQSMY,finalQCSY
oneShotIntro3.2.csv,One shot Practice,0,0,0,0,0
oneShot3.2.csv,One shot Block,1,0,0,0,0
oneShotClosing.csv,One shot Block,1,0,0,0,0
noDelayIntro.csv,Small Convenient Store Practice,0,1,0,0,0
noDelay.csv,Small Convenient Store Block,1,1,0,0,0
noDelayClosing.csv,Small Convenient Store Block,1,1,0,0,0
longDelayIntro.csv,Large Supermarket Practice,0,2,0,0,0
longDelay.csv,Large Supermarket Block,1,2,0,0,0
longDelayClosing.csv,Large Supermarket Block,1,2,999999,0.25,-0.3
