animalImage,imageName,PositionX,PositionY,pair,category
image\image14.jpg,image14,0.11,0.37,A,snack
image\image20.jpg,image20,0.22,0.37,A,snack
image\image15.jpg,image15,0.42,0.37,B,snack
image\image13.jpg,image13,0.53,0.37,B,snack
image\image10.jpg,image10,0.11,0.24,C,veg
image\image9.jpg,image9,0.22,0.24,C,veg
image\image7.jpg,image7,0.42,0.24,D,veg
image\image8.jpg,image8,0.53,0.24,D,veg
image\image1.jpg,image1,0.22,0.11,E,fruit
image\image3.jpg,image3,0.11,0.11,E,fruit
image\image4.jpg,image4,0.53,0.11,F,fruit
image\image2.jpg,image2,0.42,0.11,F,fruit
image\image11.jpg,image11,0.22,-0.02,G,ing
image\image19.jpg,image19,0.11,-0.02,G,ing
image\image5.jpg,image5,0.53,-0.02,H,ing
image\image6.jpg,image6,0.42,-0.02,H,ing
image\image16.jpg,image16,0.11,-0.15,I,dessert
image\image18.jpg,image18,0.22,-0.15,I,dessert
image\image12.jpg,image12,0.42,-0.15,J,dessert
image\image17.jpg,image17,0.53,-0.15,J,dessert
